Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,hourly,employer_provided,min_salary,max_salary,avg_salary,company_text,job_state,age,python_yn,r_yn,spark_yn,aws_yn,excel_yn
Data Scientist,Employer Provided Salary:$120K - $180K,"Title: Data Scientist
Duration: Full Time
Remote
Required Skills:
Min 15+ Years Exp Candidate Required
Design, create and maintain predictive data models will be the primary responsibility of the data scientist.
Utilize modern data preparation, integration and AI-enabled metadata management tools and techniques.
Track data consumption patterns.",5.0,"Hanker Systems Inc
5.0",Remote,51 to 200 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,0,1,120,180,150.0,Hanker Systems Inc,Remote,2024,0,0,0,0,0
Junior Data Scientist,Employer Provided Salary:$80K - $100K,"Club Quarters Application- US

Junior Data Scientist
The Junior Data Scientist is a talented, creative, and motivated data scientist who loves data. The role is supporting our organization with data research and transformation for analytics. This individual will be responsible for ensuring data availability in a timely manner and data accuracy from many disparate systems for reporting and statistical analysis.

MAJOR DUTIES AND RESPONSIBILITIES
•
Build and maintain systems and processes by which we can review and verify the integrity and quality of our data before sharing with internal and external parties
Monitor real-time incoming data to detect anomalies and identify ways to improve our data collection and monitoring systems
REQUIRED QUALIFICATIONS
•
EDUCATION AND EXPERIENCE
KEY RELATIONSHIPS",3.3,"Club Quarters
3.3","Stamford, CT",501 to 1000 Employees,-1,Company - Private,Hotels & Resorts,Hotels & Travel Accommodation,Unknown / Non-Applicable,0,1,80,100,90.0,Club Quarters, CT,2024,0,0,0,0,0
Data Scientist,Employer Provided Salary:$60.00 - $70.00 Per Hour,"Skillset Required:
Software Engineering Skills
Design, build, and maintain data processing pipelines.
Define API's and microservices consumed by other applications/teams.
Strong Python skills
Understanding of databases, data warehouses, and data lakes. Good to have:
Manage ETL and machine learning model deploy, monitor, maintain, and track model in production
Understand and Maintain ETL pipeline, and tools and deploy and monitor jobs.",3.7,"Dew Software Inc
3.7","Mountain View, CA",51 to 200 Employees,1997,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),1,1,60,70,65.0,Dew Software Inc, CA,26,1,0,0,0,0
Data Scientist,Employer Provided Salary:$60K - $140K,"iOS: https://apps.apple.com/us/app/id1551871735
Android: https://play.google.com/store/apps/details?id=com.redko.redvest
Downloading the app first will help your application process tremendously!
Get to work with the one of the top 30 ranking Finance Apps on the App Store, Redvest. Learn to produce a mobile app from start to finish! Redvest is stock market simulator that reproduces behavior and features of the stock market, so that our users can practice trading crypto currencies and stocks with 0 financial risk. Our users get $ 100,000 free paper money for their gamified stock market learning experience. We are looking for a team member that is passionate about or wants to learn the stock market and finance. You might also get an opportunity to work on different web based and mobile projects.
We are seeking a skilled Data Scientist to join our mobile app development team. The ideal candidate will be responsible for developing and implementing data-driven solutions to improve our mobile app's performance and user experience. You will be working closely with product managers, engineers, and designers to identify areas for improvement and optimization.",-1.0,Redvest App,Remote,-1,-1,-1,-1,-1,-1,0,1,60,140,100.0,Redvest App,Remote,2024,0,0,0,0,0
Data/ AI/ ML Developer,Employer Provided Salary:$55.00 - $60.00 Per Hour,"Bachelor’s Degree in Computer Science/Computer Engineering or equivalent years of experience. 1-3 years of experience developing software applications and exposure to Machine Learning Experience in technologies, frameworks, architecture, and design patterns. Strong coding skills in languages like Python and software engineering best practices.
Hands on DataIQ experience preferably in Automobile Industry
Experience in designing and building REST APIs and Microservices is required.
Experience with Relational Databases, MySQL, In-Memory databases, NoSQL databases and writing SQL queries.
Experience with AWS cloud technologies is a significant plus.
Understanding of Machine Learning concepts, MLOps and experience using AI/ML platforms such as Dataiku, Sage Maker, or SAS Viya is a plus but not required. As part of Advanced Analytics team, you will be responsible for implementation and operationalization of Self-Service AI Models.",5.0,"Volto Consulting
5.0",Remote,51 to 200 Employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable,1,1,55,60,57.5,Volto Consulting,Remote,2024,1,0,0,1,0
Data Scientist,Employer Provided Salary:$141K - $202K,"Juniper's AI-driven enterprise team's mission is to solve difficult problems in networking for the benefit of society.
The Data Science team delivers machine learning solutions that can predict and explain our customers' experience. The Senior Data Scientist will be a technical leader and mentor of the Data Science team. Specific areas of opportunity include working with large unstructured and structured data sets and applying machine/deep learning techniques for a variety of modeling and relevance problems, including predicting network performance, detecting network anomalies and apply NLP methods to understand and respond to customer's questions.
The successful candidate will lead cutting-edge research and apply state-of-the-art techniques, analytical and problem-solving abilities in support of creative scientific projects for significant business impact in a collaborative environment.",4.3,"Juniper Networks
4.3","Cupertino, CA",5001 to 10000 Employees,1996,Company - Public,Telecommunications Services,Telecommunications,$1 to $5 billion (USD),0,1,141,202,171.5,Juniper Networks, CA,27,0,0,0,0,0
Data Scientist,Employer Provided Salary:$50.00 - $55.00 Per Hour,"The ideal candidate is an individual passionate about data-driven decision-making, process improvement, and recent progresses in machine learning and AI. You have a Bachelor's or Master’s degree in data science or equivalent experience that includes Statistics, Mathematics, or Computer Engineering.
You have a desire to apply your skills to the development of an impact analysis framework for a large biomedical research program.
You understand the challenges of finding consensus when selecting meaningful metrics of impact and performance.
You enjoy working in a highly multi-disciplinary team that includes life and computer scientists.
You are familiar with the tenets of the Translational Science Spectrum and the merits of inter-disciplinary matrixed teams to achieve its goals.
Core Responsibilities:",-1.0,FameArch,Remote,-1,-1,-1,-1,-1,-1,1,1,50,55,52.5,FameArch,Remote,2024,0,0,0,0,0
Data Scientist,Employer Provided Salary:$75.00 - $80.00 Per Hour,"Required
Self-motivated individual who functions well solo and within a team.
Ability to employ data science and supply chain operations research in the development of analytics models that can tackle complex supply chain problems.
Ability to use open-source languages and/or algorithms for model development.
Be proficient in one or more programming language, such as Python, R, C++, or Java.
Be proficient in one or more visualization tools, such as Tableau or Power BI
Have experience building simulation models and applying simulation software (e.g., AnyLogic,.), either through formal coursework or through research/work experience.
Proficiency in data engineering to work closely with data engineers to define the data requirements for modeling purposes.",-1.0,PROLIM Corporation,Remote,-1,-1,-1,-1,-1,-1,1,1,75,80,77.5,PROLIM Corporation,Remote,2024,1,0,0,0,0
Data Scientist,$96K - $139K (Glassdoor est.),"As a Data Scientist at Octo, you will work across our client engagements, providing expertise in data collection, data analysis, data mapping, data profiling, data mining, data modeling, predictive modeling, and machine learning to support an initiative within the Department of Veterans Affairs (VA). You will be responsible for solutioning and development of production-ready statistical and machine learning models that leverage healthcare, healthcare operations, and related datasets, as well as contribute to and produce technical and data process documentation. Must have experience in healthcare or healthcare analytics.
Us...
We were founded as a fresh alternative in the Government Consulting Community and are dedicated to the belief that results are a product of analytical thinking, agile design principles and that solutions are built in collaboration with, not for, our customers. This mantra drives us to succeed and act as true partners in advancing our client’s missions.",4.2,"Octo
4.2","Reston, VA",1001 to 5000 Employees,2006,Company - Private,Information Technology Support Services,Information Technology,$100 to $500 million (USD),0,0,96,139,117.5,Octo, VA,17,0,0,0,0,0
Associate Data Scientist,Employer Provided Salary:$70K - $110K,"Position: Associate Data Scientist
Location: Remote
Reports to: Chief Analytics Officer
Position Type: Full Time
Compensation: $70,000 - $110,000
Travel Required: Up to 5%

About Us: Netrush partners with brands to increase value at all points between your business and the consumer, bringing data, technology, strategy, and infrastructure to help them thrive on Amazon and other ecommerce platforms. With headquarters in Vancouver, Washington, and several processing facilities across North America, Netrush provides integrated retail capabilities ranging from logistics and data science to brand control and creative services, helping brands outsmart, not outspend, the competition.",3.0,"Netrush
3.0","Vancouver, WA",51 to 200 Employees,2006,Company - Private,Advertising & Public Relations,Media & Communication,Unknown / Non-Applicable,0,1,70,110,90.0,Netrush, WA,17,0,0,0,0,0
